Change Component Designator: OldDesignator=J121 NewDesignator=K1
Added Member To Class: ClassName=NCKH_sch Member=Component * JP5
Added Member To Class: ClassName=NCKH_sch Member=Component J1 JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J2 JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J3 JP4
Added Member To Class: ClassName=NCKH_sch Member=Component JP3 Header 2_1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
