Change Component Designator: OldDesignator=Q13 NewDesignator=Q14
Added Pin To Net: NetName=NetQ14_1 Pin=Q14-1
Added Pin To Net: NetName=NetQ14_1 Pin=R4x1-1
Added Net: Name=NetQ14_1
Added Pin To Net: NetName=NetQ14_3 Pin=Q14-3
Added Pin To Net: NetName=NetQ14_3 Pin=R4x2-2
Added Net: Name=NetQ14_3
Added Member To Class: ClassName=NCKH_sch Member=Component * JP5
Added Member To Class: ClassName=NCKH_sch Member=Component J1 JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J2 JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J3 JP4
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component JP3 Header 2_1
Added Member To Class: ClassName=NCKH_sch Member=Component Q14 H1061
Added Member To Class: ClassName=NCKH_sch Member=Component R4x2 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
