Added Component: Designator=J?(JP1-D1T)
Added Pin To Net: NetName=PA4 Pin=J?-1
Added Member To Class: ClassName=NCKH_sch Member=Component * JP5
Added Member To Class: ClassName=NCKH_sch Member=Component J1 JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J2 JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J3 JP4
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component J? JP1
Added Member To Class: ClassName=NCKH_sch Member=Component JP3 Header 2_1
Added Member To Class: ClassName=NCKH_sch Member=Component R4x2 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
Added Member To Class: ClassName=NCKH_sch Member=Component R46 Res1
